date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:37:07	76576/76576	---M-Z	200	added ('OK')	text/html	etag:W/%22a12630f59f8dec7dd30be7a95b949d02%22	https://www.horsefarmtours.com/	C:/Users/Admin/Desktop/princesss/v2/horsefarmtours/www.horsefarmtours.com/index.html	(from )
20:37:07	384/384	---M-Z	200	added ('OK')	text/plain	date:Tue,%2008%20Apr%202025%2021:49:37%20GMT	https://www.horsefarmtours.com/robots.txt		(from )
20:37:07	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Wed,%2009%20Apr%202025%2017:37:32%20GMT	http://static1.squarespace.com/static/578ebc8c9de4bb0982dc4e81/t/578fcb28b3db2bde1a981de9/1469041448854/Logo.png?format=1500w	C:/Users/Admin/Desktop/princesss/v2/horsefarmtours/static1.squarespace.com/static/578ebc8c9de4bb0982dc4e81/t/578fcb28b3db2bde1a981de9/1469041448854/Logo.026f7.delayed	(from https://www.horsefarmtours.com/)
20:37:08	12492/12492	---M--	200	added ('OK')	image/png	etag:COWMoJadlewCEAE=	https://images.squarespace-cdn.com/content/578ebc8c9de4bb0982dc4e81/1469041448112-YI3UG7E2OK57839WJRYG/Logo.png?content-type=image%2Fpng	C:/Users/Admin/Desktop/princesss/v2/horsefarmtours/images.squarespace-cdn.com/content/578ebc8c9de4bb0982dc4e81/1469041448112-YI3UG7E2OK57839WJRYG/Logo5d45.png	(from https://www.horsefarmtours.com/)
20:37:09	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/Users/Admin/Desktop/princesss/v2/horsefarmtours/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.horsefarmtours.com/)
20:37:10	21150/21150	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2009%20Apr%202025%2017:37:33%20GMT	http://use.typekit.net/ik/0Yw5R2JBmrdnM8At44RUhJsSPW1FL0GAvWvJWisURv6feGM2fFHN4UJLFRbh52jhWD9a5emKjDyR5As8Fe4Kw2qtwcsRFe9tws7AMPG0-eNkShmcjW4lieNuS1w0SaBujW48Sagyjh90jhNlOeyzS1F8ZcBkdWsziW4DOcFzdPUGda4DZAZyScuXdamkSkoDSWmyScmDSeBRZPoRdhXCdeNRjAUGdaFXOYiaikoGda4DZAZyScuXdamkSkoRdhXCiaiaOcyzS1F8ZcBkdWsziW4DO1FUiABkZWF3jAF8OcFzdPJ4dhu0ZWwlSY4zH6qJlRtbMg6gJMJ7fbKaVyMMeMC6MKG4fOGrIMMjMKMfH6qJ0DtbMg6wJMJ7fbKtVyMMeMw6MKG4fOqrIMMj2PMfH6qJCRtbMg6IJMJ7fbKDVyMMeMt6MKG4fO3rIMMjgPMfH6qJzQtbMg6VJMJ7fbKrVyMMeMj6MKG4fOvrIMMjIfMfH6qJl2tbMg6YJMJ7fbKuVyMMegI6MKG4fwMrIMMjfPMfH6qJ3QtbMg6QJMHbMLVZqnXB.js	C:/Users/Admin/Desktop/princesss/v2/horsefarmtours/use.typekit.net/ik/0Yw5R2JBmrdnM8At44RUhJsSPW1FL0GAvWvJWisURv6feGM2fFHN4UJLFRbh52jhWD9a5emKjDyR5As8Fe4Kw2qtwcsRFe9tws7AMPG0-eNkShmcjW4lieNuS1w0SaBujW48Sagyjh90jhNlOeyzS1F8ZcBkdWsziW4DOc	(from https://www.horsefarmtours.com/)
20:37:12	43027/43027	---M-Z	200	added ('OK')	text/javascript	etag:%222160b1e3ae6271bac29dc247b2d6a35e%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-c08a8a031ac872a6-min.en-US.js	C:/Users/Admin/Desktop/princesss/v2/horsefarmtours/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-c08a8a031ac872a6-min.en-US.js	(from https://www.horsefarmtours.com/)
20:37:13	89963/89963	---M-Z	200	added ('OK')	text/javascript	etag:%22b0046ab6ec7516fa79fcda391447e564%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-89ecbda94ef71fea-min.en-US.js	C:/Users/Admin/Desktop/princesss/v2/horsefarmtours/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-89ecbda94ef71fea-min.en-US.js	(from https://www.horsefarmtours.com/)
20:37:15	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/Users/Admin/Desktop/princesss/v2/horsefarmtours/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.horsefarmtours.com/)
20:37:19	857850/857850	---M-Z	200	added ('OK')	text/javascript	etag:%2260423bb4b320dff0150c5b7a4222e2eb%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-b60fc53b12f6d6c5-min.en-US.js	C:/Users/Admin/Desktop/princesss/v2/horsefarmtours/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-b60fc53b12f6d6c5-min.en-US.js	(from https://www.horsefarmtours.com/)
20:37:21	30790/30790	---M-Z	200	added ('OK')	text/javascript	etag:%22a69ff7ea5831e9c44adf40445e0f9f02%22	http://assets.squarespace.com/universal/scripts-compressed/performance-5c36eab9b8d6206e-min.en-US.js	C:/Users/Admin/Desktop/princesss/v2/horsefarmtours/assets.squarespace.com/universal/scripts-compressed/performance-5c36eab9b8d6206e-min.en-US.js	(from https://www.horsefarmtours.com/)
20:37:26	541198/541198	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Apr%202025%2017:37:45%20GMT	https://static1.squarespace.com/static/sitecss/578ebc8c9de4bb0982dc4e81/73/50521cf884aeb45fa5cfdb80/578ebc8c9de4bb0982dc4e88/961/site.css	C:/Users/Admin/Desktop/princesss/v2/horsefarmtours/static1.squarespace.com/static/sitecss/578ebc8c9de4bb0982dc4e81/73/50521cf884aeb45fa5cfdb80/578ebc8c9de4bb0982dc4e88/961/site.css	(from https://www.horsefarmtours.com/)
20:37:26	246270/246270	---M-Z	200	added ('OK')	text/javascript	etag:%226b4b76341b542780c4b94321a4ce93cf%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-51880dc0d7a0158c-min.en-US.js	C:/Users/Admin/Desktop/princesss/v2/horsefarmtours/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-51880dc0d7a0158c-min.en-US.js	(from https://www.horsefarmtours.com/)
20:37:30	72296/72296	---M-Z	200	added ('OK')	text/javascript	etag:%220bad3a877a0dfe392316817f2440387a%22	https://cdn.nicejob.co/js/sdk.min.js?id=5048817917755392	C:/Users/Admin/Desktop/princesss/v2/horsefarmtours/cdn.nicejob.co/js/sdk.min0cb3.js	(from https://www.horsefarmtours.com/)
20:37:31	44048/44048	---M-Z	200	added ('OK')	text/html	etag:W/%22fdcc3362eda574327b1d76f421f8b5bf%22	https://www.horsefarmtours.com/public-tours	C:/Users/Admin/Desktop/princesss/v2/horsefarmtours/www.horsefarmtours.com/public-tours.html	(from https://www.horsefarmtours.com/)
20:37:32	44528/44528	---M-Z	200	added ('OK')	text/html	etag:W/%226843ea8b7a306e7f4d1653070ee86237%22	https://www.horsefarmtours.com/tour-information	C:/Users/Admin/Desktop/princesss/v2/horsefarmtours/www.horsefarmtours.com/tour-information.html	(from https://www.horsefarmtours.com/)
20:37:32	84977/84977	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Apr%202025%2017:37:51%20GMT	https://static1.squarespace.com/static/ta/5052176b84aeb45fa5cfcc83/961/scripts/site-bundle.js	C:/Users/Admin/Desktop/princesss/v2/horsefarmtours/static1.squarespace.com/static/ta/5052176b84aeb45fa5cfcc83/961/scripts/site-bundle.js	(from https://www.horsefarmtours.com/)
20:37:33	50140/50140	---M-Z	200	added ('OK')	text/html	etag:W/%225f42fab0ed1737762bff62076fd43093%22	https://www.horsefarmtours.com/guides	C:/Users/Admin/Desktop/princesss/v2/horsefarmtours/www.horsefarmtours.com/guides.html	(from https://www.horsefarmtours.com/)
20:37:34	123443/123443	---M-Z	200	added ('OK')	text/html	etag:W/%22cd4733180d3350aed438e46260fd18eb%22	https://www.horsefarmtours.com/gallery	C:/Users/Admin/Desktop/princesss/v2/horsefarmtours/www.horsefarmtours.com/gallery.html	(from https://www.horsefarmtours.com/)
20:37:34	37877/37877	---M-Z	200	added ('OK')	text/html	etag:W/%220cafe82bf6b6eaa0d6ae87f712736c44--gzip%22	https://www.horsefarmtours.com/visiting-lexington	C:/Users/Admin/Desktop/princesss/v2/horsefarmtours/www.horsefarmtours.com/visiting-lexington.html	(from https://www.horsefarmtours.com/)
20:37:35	32651/32651	---M-Z	200	added ('OK')	text/html	etag:W/%2202ee845c6046fb6c3222389903ef3f1a%22	https://www.horsefarmtours.com/reviews	C:/Users/Admin/Desktop/princesss/v2/horsefarmtours/www.horsefarmtours.com/reviews.html	(from https://www.horsefarmtours.com/)
20:37:36	64985/64985	---M-Z	200	added ('OK')	text/html	etag:W/%220c1f285b608c9e7de5f9b74d206d9689--gzip%22	https://www.horsefarmtours.com/contact	C:/Users/Admin/Desktop/princesss/v2/horsefarmtours/www.horsefarmtours.com/contact.html	(from https://www.horsefarmtours.com/)
20:37:36	34692/34692	---M-Z	200	added ('OK')	text/html	etag:W/%225e382ed211eda1cd74436f5af2ac7ced%22	https://www.horsefarmtours.com/book	C:/Users/Admin/Desktop/princesss/v2/horsefarmtours/www.horsefarmtours.com/book.html	(from https://www.horsefarmtours.com/)
